Email ID,Subject,Body,Sender Email,Date Sent
608,Final Warning: Account Suspended!,Sorry????for????the????delay.????I????received????your????application????and????will????get????back????to????you????shortly.,margaretporter@gmail.com,2025-04-06 03:30:18
358,RE: FW: Application,Sorryforthedelay.Ireceivedyourapplicationandwillgetbacktoyoushortly.Clickheretowin!,jeffreypetersen_fake@hotmail.com,2025-04-01 06:38:11
852,RE: FW: Application,Quick   reminder:   Your   appointment   is   scheduled   for   tomorrow   at   3   PM.   Act   fast!!!,corypetersen_fake@gmail.com,2025-04-02 10:03:39
267,NEW VOICEMAIL,"Hey????team,????the????project????is????moving????ahead,????attached????is????the????progress????document.????Act????fast!!!",droberts@yahoo.com,2025-04-05 15:38:18
207,Free gift!!!,Sorry!!!for!!!the!!!delay.!!!I!!!received!!!your!!!application!!!and!!!will!!!get!!!back!!!to!!!you!!!shortly.,garciaalan@murphy.com,2025-04-06 19:11:19
969,Application for position,Quick!!!reminder:!!!Your!!!appointment!!!is!!!scheduled!!!for!!!tomorrow!!!at!!!3!!!PM.,moodyrobert_fake@hotmail.com,2025-04-01 21:34:48
501,RE: FW: Application,"Hey,canyousendmethefilesfortheprojectreport?Clickheretowin!Actfast!!!",richard08_fake@harris.com,2025-04-03 18:42:57
564,Application for position,Quick!!!reminder:!!!Your!!!appointment!!!is!!!scheduled!!!for!!!tomorrow!!!at!!!3!!!PM.!!!Click!!!here!!!to!!!win!!!!Act!!!fast!!!,jamesdickson@yahoo.com,2025-04-05 12:31:08
415,Final Warning: Account Suspended!,Youhaveanewvoicemail.Dial123tolisten.Clickheretowin!Actfast!!!,ygarcia_fake@brewer.net,2025-04-02 23:55:49
180,Final Warning: Account Suspended!,Youraccounthasbeentemporarilysuspendedduetosuspiciousactivity!ACTNOW!,kfletcher@mccoy-ryan.com,2025-04-01 09:11:29
396,Application for position,"Hey,canyousendmethefilesfortheprojectreport?Actfast!!!",walkerjeffery@hotmail.com,2025-04-06 17:15:09
748,Application for position,I??would??like??to??apply??for??the??software??engineer??role.??My??resume??is??attached.??Click??here??to??win!,andreaedwards_fake@yahoo.com,2025-04-04 02:18:40
757,NEW VOICEMAIL,Don’t??miss??out!??Big??Sale??–??Shop??Now!??Click??here??to??win!,peterjohnson@gmail.com,2025-04-03 17:47:35
588,Free gift!!!,"Hey,??can??you??send??me??the??files??for??the??project??report?",paul29_fake@yahoo.com,2025-04-02 21:09:57
495,Final Warning: Account Suspended!,"Congrats,   you've   won   a   $500   gift   card!   Claim   NOW!!!   Click   here   to   win!   Act   fast!!!",jefferydavenport_fake@johnson-rivera.com,2025-04-06 13:21:37
211,Quick Question,Get????30%????OFF????on????everything!!????Visit????our????website????NOW!????Hurry!????Click????here????to????win!,ericevans_fake@ramos-gallagher.com,2025-04-05 15:22:28
627,Reminder!,Get   30%   OFF   on   everything!!   Visit   our   website   NOW!   Hurry!   Click   here   to   win!,edwardsstephanie_fake@jones.com,2025-04-01 00:30:48
285,Limited Time Offer,"Hey   team,   the   project   is   moving   ahead,   attached   is   the   progress   document.   Act   fast!!!",langchristopher_fake@hotmail.com,2025-04-03 14:30:47
855,FW: Project Update,Sorry!!!for!!!the!!!delay.!!!I!!!received!!!your!!!application!!!and!!!will!!!get!!!back!!!to!!!you!!!shortly.!!!Act!!!fast!!!,michelle44_fake@gmail.com,2025-04-04 14:58:32
162,Free gift!!!,Youraccounthasbeentemporarilysuspendedduetosuspiciousactivity!ACTNOW!Clickheretowin!Actfast!!!,melissaholland@mason-thompson.com,2025-04-01 04:37:16
646,NEW VOICEMAIL,Quick  reminder:  Your  appointment  is  scheduled  for  tomorrow  at  3  PM.  Click  here  to  win!,djames@peters.com,2025-04-01 16:37:35
689,RE: FW: Application,Youhaveanewvoicemail.Dial123tolisten.,juanwise@gmail.com,2025-04-04 19:36:01
341,NEW VOICEMAIL,Quick????reminder:????Your????appointment????is????scheduled????for????tomorrow????at????3????PM.????Click????here????to????win!????Act????fast!!!,iwilliams@conley.com,2025-04-06 01:06:28
725,Application for position,I!!!would!!!like!!!to!!!apply!!!for!!!the!!!software!!!engineer!!!role.!!!My!!!resume!!!is!!!attached.!!!Click!!!here!!!to!!!win!,fhernandez_fake@mack-rogers.info,2025-04-01 23:04:45
231,Reminder!,Your  account  has  been  temporarily  suspended  due  to  suspicious  activity!  ACT  NOW!  Click  here  to  win!  Act  fast!!!,johnsonmonica_fake@hotmail.com,2025-04-04 19:29:48
823,FW: Project Update,Iwouldliketoapplyforthesoftwareengineerrole.Myresumeisattached.Clickheretowin!Actfast!!!,jeff76@woods.net,2025-04-04 15:40:09
380,Reminder!,"Hey??team,??the??project??is??moving??ahead,??attached??is??the??progress??document.??Click??here??to??win!",rickyhart@yahoo.com,2025-04-04 10:53:06
276,NEW VOICEMAIL,Get??30%??OFF??on??everything!!??Visit??our??website??NOW!??Hurry!,robert76_fake@yahoo.com,2025-04-05 05:04:52
910,Final Warning: Account Suspended!,Your!!!account!!!has!!!been!!!temporarily!!!suspended!!!due!!!to!!!suspicious!!!activity!!!!ACT!!!NOW!,stephaniehansen@hotmail.com,2025-04-03 15:48:38
